cost_of_living_id,destination_id,daily_avg_usd,avg_cost_for_food,budget_level
1,398,126.14999999999999,103.65,Luxury
3,399,121.64999999999999,105.9,Luxury
4,9,150.0,100.0,Luxury
6,400,101.39999999999999,93.19999999999999,Luxury
8,211,110.7,93.4,Luxury
9,344,99.14999999999999,93.45,Mid-range
11,626,110.55,62.15,Luxury
14,350,108.89999999999999,70.75,Luxury
15,192,109.64999999999999,78.94999999999999,Luxury
16,331,82.5,78.75,Mid-range
17,190,105.60000000000001,85.15,Luxury
20,329,83.69999999999999,80.05,Mid-range
21,18,89.25,80.2,Mid-range
22,584,98.55000000000001,62.800000000000004,Mid-range
23,127,97.2,83.35,Mid-range
25,330,77.25,77.5,Mid-range
26,47,88.35,80.1,Mid-range
27,184,93.45,75.75,Mid-range
28,338,85.94999999999999,74.85,Mid-range
29,86,86.4,81.65,Mid-range
32,37,91.05,76.1,Mid-range
34,19,81.9,73.75,Mid-range
35,368,81.44999999999999,67.85,Mid-range
36,377,89.55,67.3,Mid-range
37,715,88.35,65.2,Mid-range
39,688,78.9,66.6,Mid-range
41,722,79.2,68.44999999999999,Mid-range
42,339,73.80000000000001,72.19999999999999,Mid-range
43,66,87.0,72.35,Mid-range
45,387,80.10000000000001,62.55,Mid-range
47,24,82.5,71.95,Mid-range
51,364,88.05000000000001,65.55,Mid-range
52,357,78.15,65.0,Mid-range
54,187,79.35000000000001,69.44999999999999,Mid-range
56,577,78.60000000000001,69.19999999999999,Mid-range
58,341,69.75,67.55,Mid-range
59,141,79.2,68.05,Mid-range
60,369,67.35000000000001,65.55,Mid-range
61,389,71.1,62.3,Mid-range
62,365,78.0,65.35,Mid-range
63,596,69.3,58.849999999999994,Mid-range
65,216,82.80000000000001,67.9,Mid-range
68,445,75.3,63.35,Mid-range
69,381,70.5,66.5,Mid-range
70,189,76.95,66.19999999999999,Mid-range
71,388,71.7,60.0,Mid-range
72,334,73.05000000000001,61.15,Mid-range
74,378,74.4,64.0,Mid-range
75,351,73.2,62.9,Mid-range
76,719,69.3,66.35,Mid-range
77,228,78.3,64.5,Mid-range
79,219,71.85,65.4,Mid-range
80,390,67.65,58.5,Mid-range
81,394,68.55,61.5,Mid-range
82,383,65.1,66.95,Mid-range
83,220,72.0,64.65,Mid-range
84,716,73.2,64.1,Mid-range
86,358,70.65,61.7,Mid-range
87,96,77.10000000000001,66.15,Mid-range
88,179,74.25,66.75,Mid-range
90,380,73.35,60.8,Mid-range
94,57,75.15,66.80000000000001,Mid-range
95,386,70.05,57.6,Mid-range
97,240,71.25,62.65,Mid-range
98,741,68.69999999999999,61.05,Mid-range
100,740,69.0,60.0,Mid-range
102,229,70.19999999999999,62.85,Mid-range
103,718,69.15,64.95,Mid-range
106,97,72.15,63.0,Mid-range
109,232,66.75,65.1,Mid-range
110,221,65.69999999999999,62.2,Mid-range
115,705,82.5,54.099999999999994,Mid-range
118,717,69.6,62.45,Mid-range
120,353,64.05000000000001,60.5,Mid-range
121,352,66.44999999999999,57.3,Mid-range
122,233,60.900000000000006,60.5,Mid-range
124,335,60.75000000000001,58.55,Mid-range
126,391,58.800000000000004,55.400000000000006,Mid-range
129,362,62.699999999999996,61.2,Mid-range
130,742,64.2,62.15,Mid-range
131,226,60.75000000000001,59.65,Mid-range
132,115,68.85,57.8,Mid-range
133,350,66.9,59.25,Mid-range
135,463,67.8,55.6,Mid-range
137,282,56.85,54.75,Mid-range
138,347,55.050000000000004,53.2,Mid-range
139,706,67.94999999999999,51.25,Mid-range
143,590,60.300000000000004,46.5,Mid-range
144,444,60.75000000000001,51.8,Mid-range
145,448,55.65,51.099999999999994,Mid-range
146,432,61.949999999999996,51.3,Mid-range
147,431,61.349999999999994,49.2,Mid-range
148,468,55.95,48.65,Mid-range
149,453,49.949999999999996,49.099999999999994,Budget
150,602,52.050000000000004,44.45,Mid-range
151,708,63.150000000000006,44.4,Mid-range
152,462,51.300000000000004,46.25,Mid-range
153,318,48.15,48.1,Budget
154,465,51.900000000000006,49.25,Mid-range
155,709,52.650000000000006,46.6,Mid-range
156,697,56.4,43.15,Mid-range
157,707,53.849999999999994,38.05,Mid-range
159,454,46.95,48.45,Budget
160,408,55.35,41.0,Mid-range
161,439,60.75000000000001,45.0,Mid-range
162,61,56.55,48.95,Mid-range
163,348,45.6,44.85,Budget
164,411,49.650000000000006,43.2,Budget
165,349,49.199999999999996,45.75,Budget
166,464,47.1,42.650000000000006,Budget
167,404,52.050000000000004,39.85,Mid-range
168,686,47.4,37.35,Budget
169,293,42.74999999999999,47.25,Budget
170,440,52.199999999999996,40.75,Mid-range
172,478,44.400000000000006,41.55,Budget
175,410,46.95,38.0,Budget
177,710,49.800000000000004,41.2,Budget
179,434,50.400000000000006,43.349999999999994,Mid-range
182,255,46.95,42.4,Budget
183,703,43.2,39.4,Budget
184,711,46.2,38.55,Budget
185,406,44.85,38.35,Budget
186,314,42.3,45.0,Budget
187,407,45.6,38.45,Budget
188,673,46.65,40.75,Budget
191,694,39.45,38.349999999999994,Budget
192,472,44.55,38.85,Budget
194,583,49.650000000000006,33.3,Budget
195,427,41.849999999999994,39.75,Budget
198,413,41.7,37.7,Budget
199,424,40.5,40.0,Budget
200,607,45.449999999999996,36.3,Budget
201,262,46.5,42.0,Budget
202,310,40.5,41.15,Budget
206,473,39.45,36.599999999999994,Budget
207,605,41.849999999999994,33.55,Budget
208,615,38.550000000000004,35.5,Budget
209,582,45.3,29.900000000000002,Budget
210,564,37.65,36.8,Budget
214,474,38.7,35.4,Budget
215,585,38.25,32.95,Budget
216,674,38.85,36.6,Budget
217,676,38.4,36.4,Budget
223,632,39.0,32.95,Budget
224,653,34.65,37.65,Budget
225,263,38.1,36.7,Budget
229,608,36.449999999999996,33.55,Budget
230,414,34.95,32.4,Budget
231,622,35.55,33.5,Budget
232,555,34.8,31.2,Budget
233,301,34.95,34.7,Budget
234,470,33.15,29.400000000000002,Budget
235,428,33.599999999999994,33.75,Budget
236,712,38.1,35.35,Budget
239,304,35.099999999999994,32.4,Budget
240,600,37.35,32.65,Budget
243,502,34.65,33.55,Budget
244,476,31.650000000000002,29.15,Budget
245,493,33.45,29.450000000000003,Budget
247,682,33.3,29.9,Budget
248,554,38.1,30.15,Budget
250,415,39.15,30.0,Budget
251,537,32.55,30.85,Budget
252,714,32.25,31.9,Budget
254,499,41.7,32.05,Budget
256,496,32.400000000000006,29.75,Budget
257,606,30.599999999999998,28.4,Budget
258,494,29.400000000000002,29.95,Budget
260,713,32.1,30.85,Budget
262,556,29.700000000000003,25.3,Budget
263,611,31.95,25.4,Budget
264,627,31.650000000000002,27.25,Budget
265,664,32.400000000000006,28.35,Budget
267,322,29.849999999999998,26.4,Budget
270,610,29.549999999999997,25.650000000000002,Budget
271,488,26.549999999999997,26.0,Budget
272,587,27.45,26.85,Budget
276,328,27.45,25.15,Budget
278,669,29.549999999999997,24.950000000000003,Budget
280,544,29.099999999999998,26.9,Budget
281,323,27.150000000000002,24.45,Budget
282,678,30.299999999999997,20.95,Budget
283,422,28.650000000000002,27.1,Budget
