destination_id,country_id,name,latitude,longitude,description,tags,type,iata,hotel_ids
1,193,Boston (Manchester),42.3601,-71.0589,Major northeastern city with rich history,"city,historical",urban,BOS,"['SCBOS257', 'YOBOSBRA', 'CYBOSBLC', 'HIBOSB1D', 'YXBOSAHS', 'SIBOS756', 'KCBOSONX', 'CYBOSSOC', 'RCBOSWOR', 'ILBOS752', 'GIBOS500', 'DTBOS508', 'CYBOSCYC', 'BWBOS031', 'RCBOSDNR', 'UZBOS146', 'CYBOSSTC', 'HGBOSHG8', 'WVBOS381', 'SCBOSAMA', 'UZBOS557', 'RCBOSFRR', 'RCBOSTWR', 'HXBOS735', 'PHBOSHHL', 'OZBOS021', 'ESBOS207', 'EOBOS080', 'BWBOS061', 'MCBOSPBM', 'XVBOSAVS', 'TOBOSCLT', 'HEBOSGPB', 'EABOSBRL', 'CQBOS498', 'RCBOSCMR', 'SCBOSBBB', 'TOBOSTTT', 'CYBOSDMC', 'RCBOSRIR', 'RDBOS152', 'IQBOS894', 'CYBOSWMC', 'CYBOSDTC', 'GZBOSCBV', 'YXBOSHAW', 'SCBOSMMI', 'RFBOS274', 'IRBOS939', 'VCBOSCHV', 'BWBOS025', 'XTBOSFTT', 'CYBOSCHC', 'IRBOS115', 'EOBOS074', 'MCBOSLWM', 'HXBOS811', 'GIBOS454', 'YXBOSHLI', 'CYBOSBBC', 'ALBOS209', 'RCBOSRWR', 'CIBOS018', 'YXBOSHPK', 'PHBOS715', 'RCBOSCRR', 'ILBOS037', 'HGBOS146', 'HXBOS603', 'XKBOSORG', 'MCBOSCBM', 'ILBOS022', 'CYBOSNFC', 'UZBOS811', 'KGBOS450', 'HIBOSD1A', 'GIBOS631', 'XTBOS126', 'YXBOSCOP', 'XLBOSCOL', 'BWBOS023', 'ILBOS823', 'LWBOS725', 'EABOS256', 'FNBOSAWF', 'WHBOS787', 'RCBOSMBR', 'BWBOS040', 'EABOSMAR', 'HXBOSFI9', 'FNBOSDHF', 'XVBOSPYS', 'SIBOS607', 'BHBOS200', 'RCBOSFPR', 'HHBOS810', 'WIBOS528', 'LZBOSJBH', 'MXBOSA45', 'YXBOS244', 'CYBOSMDC', 'MCBOSQUM', 'HXBOS600', 'FNBOSSYF', 'RCBOSFNR', 'DIBOS424', 'RCBOSFMR', 'YXBOSBWI', 'MCBOSCOM', 'NZBOS199', 'KGBOS147', 'CYBOSFBC', 'UZBOSPL1', 'YXBOS377', 'EABOS270', 'YXBOS028', 'CIBOS051', 'MCBOSNTM', 'ICBOSICA', 'YXBOSAME', 'QIBOS147', 'FNBOSFIF', 'SCBOS600', 'CIBOS047', 'XTBOSCAB', 'FNBOSRFF', 'ILBOSISH', 'BWBOS056', 'XLBOSSEA', 'LQBOSFZN', 'DTBOS240', 'WVBOS140', 'WVBOS638', 'CXBOS364', 'MUBOSSBH', 'GIBOS453', 'BWBOS029', 'GZBOS312', 'WVBOS420', 'HGBOS828', 'SCBOSAMO', 'RCBOSDER', 'RYBOS129', 'BWBOS047', 'CYBOSLAC', 'RFBOS305', 'WVBOS933', 'ILBOS183', 'YXBOS053', 'HHBOS002', 'WVBOS494', 'XVBOSSDS', 'RCBOSBCR', 'RCBOSBTR', 'MXBOSA62', 'CPBOS8FC', 'RCBOSNHR', 'WVBOS287', 'FNBOSFTF', 'TLBOS263', 'WVBOS951', 'DIBOS121', 'WVBOS898', 'HYBOSHBF', 'UIBOS428', 'CIBOS193', 'MCBOSBUM', 'YXBOSHIN', 'OZBOS637', 'HGBOS350', 'UZBOS174', 'BRBOSPPB', 'CYBOSMLC', 'EABOS576', 'HSBOSAKG', 'BWBOS042', 'FNBOSFAF', 'SIBOS636', 'SIBOS430', 'UBBOS164', 'HYBOSWAL', 'KCBOSNNZ', 'YXBOSWML', 'HIBOSAD2', 'CIBOS081', 'HIBOS150', 'CYBOSCYR', 'RCBOSADR', 'RCBOSFXR', 'WIBOSBOS', 'BWBOS057', 'UZBOS530', 'RCBOSBWR', 'DTBOS425', 'CIBOS109', 'INBOS0E4', 'WYBOSCHH', 'MOBOSMOB', 'BRBOSWFB', 'HIBOSF56', 'SCBOSBSM', 'EABOS244', 'EABOS014', 'RZBOSRTZ', 'SIBOS015', 'HXBOS230', 'OMBOS507', 'ILBOS019']"
2,193,Springfield-Holyoke,42.1015,-72.5898,Western Massachusetts metro area,city,urban,CEF,[]
3,193,Hartford & New Haven,41.7637,-72.6851,Connecticut metropolitan region,city,urban,HFD,"['YXHFDIIR', 'UZHFDTP1', 'HGHFD338', 'ILHFD065', 'UZHFD254', 'WVHFD93F', 'UZHFDASH', 'HSHFDABB', 'HHHFD996', 'HGHFD109', 'BWHFD026', 'OZHFD369', 'RYHFD004', 'RDHFD600', 'UZHFDAW1', 'QIHFD402', 'UZHFDSWF', 'CZHFD071', 'MSHFD747', 'MXHFDA22', 'BHHFD792']"
4,193,Providence-New Bedford,41.824,-71.4128,Rhode Island and southeastern Massachusetts area,"city,coastal",urban,PVD,"['RCPVDPCR', 'BWPVD058', 'YXPVDNKI', 'SCPVD983', 'YXPVDGFR', 'QIPVD154', 'WVPVDHPR', 'ILPVDSLM', 'HGPVD330', 'RDPVD432', 'WOPVDBVI', 'GZPVDSHI', 'CZPVD016', 'CCPVD187', 'MCPVDLWM', 'HIPVD4F3', 'WBPVDPHH', 'BWPVD007', 'GZPVD955', 'CIPVD036', 'CIPVD130', 'CYPVDLNC', 'GIPVD510', 'SCPVD166', 'KGPVD418', 'YXPVDFGP', 'LQPVDDAY', 'SCPVD318', 'HIPVD120', 'YXPVD515', 'CPPVDB51', 'BWPVD003', 'YXPVDNPW', 'MCPVDRIM', 'OZPVD872', 'CYPVDRYC', 'ILPVD863', 'RAPVD354', 'WOPVDNOR', 'HHPVD645', 'YXPVDBWI', 'CYPVDAPC', 'HXPVD850', 'SIPVD828', 'EAPVD860', 'EAPVD284', 'HIPVD5FC', 'YXPVD827', 'ILPVD544', 'HXPVD020', 'EAPVD435', 'CIPVD141', 'YXPVDPRO', 'EAPVD263', 'XVPVDSHS', 'BRPVDBRB', 'WVPVDHAR', 'HIPVDDC3', 'CIPVD010', 'HXPVD210', 'ILPVD123', 'CYPVDDTC', 'RYPVD029', 'EOPVD034', 'HIPVDC21', 'HXPVD058', 'YXPVDFGC', 'UIPVD817', 'TOPVDTST', 'OMPVDPRO', 'CIPVD400', 'EAPVD001', 'RCPVDNMR', 'LQPVD717']"
5,193,Portland-Auburn,43.6591,-70.2568,Southern Maine metropolitan area,"city,coastal",urban,PWM,"['FNPWMBWF', 'NZPWM028', 'YXPWMKBI', 'ILPWM377', 'YXPWM883', 'MSPWM555', 'WVPWM474', 'ILPWM001', 'YXPWM469', 'ESPWMFF1', 'CCPWM061', 'HIPWM28C', 'CZPWM008', 'IMPWMHLR', 'BWPWM022', 'SCPWMVMO', 'HIPWM3E8', 'HSPWMADT', 'GZPWM569', 'MCPWMAPM', 'RCPWMRIR', 'HXPWM178', 'GZPWMKPZ', 'WBPWME01', 'UZPWM506', 'GZPWM690', 'HXPWM194', 'ILPWM159', 'ILPWM771', 'ILPWM543', 'ILPWM823', 'TOPWMTST', 'WVPWM478', 'WVPWMUSB', 'FNPWMPTF', 'ILPWMCRI', 'SCPWMMDM', 'SCPWMPML', 'ILPWM333', 'CYPWMLOC', 'IMPWMABB', 'YXPWMNEC', 'CIPWM057', 'GIPWM206', 'ILPWM127', 'WVPWM849', 'SCPWM460', 'HXPWM900', 'GZPWMREJ', 'CIPWM056', 'EOPWM049', 'WVPWM464', 'HXPWM209', 'DIPWM470', 'WVPWM059', 'ILPWM661', 'BWPWM020', 'ILPWM991', 'RYPWM047', 'ILPWMORI', 'SCPWM067', 'SCPWMSCO', 'ILPWMSEB', 'WVPWM001', 'RCPWMABR', 'WVPWM463', 'SCPWM233', 'RCPWMCWR', 'GIPWM512', 'HXPWM480', 'SCPWMSCV', 'ILPWM848', 'PHPWMIBS', 'HXPWMB5C', 'YXPWM032', 'SCPWMWTM', 'WVPWM624', 'ILPWM896', 'ILPWM886', 'BWPWM015', 'GIPWM283', 'ILPWM852', 'ILPWM922', 'RCPWMDTR', 'SCPWMTLK', 'OZPWM461', 'LMPWM861', 'CIPWM400', 'CYPWMCDC', 'IQPWM515', 'ILPWM862', 'HSPWMAFZ', 'ILPWM123', 'HIPWMD77', 'IQPWMJUN', 'SCPWM272', 'SCPWMCLI', 'ILPWM005', 'DTPWM870', 'LMPWM930', 'YXPWM747', 'ILPWM309', 'EAPWM257', 'ILPWM019', 'GZPWM975', 'SCPWMEIL', 'YXPWMAME', 'ILPWM055', 'ILPWM064', 'ILPWM317', 'HEPWM010', 'ILPWM909', 'ILPWM631', 'RAPWM465', 'WVPWM861', 'WVPWM850', 'WIPWM798', 'IQPWMMIL', 'WVPWM340', 'ILPWM033', 'ILPWM003', 'ILPWM111', 'IQPWMGGH', 'OZPWM481', 'CIPWM012', 'SCPWMCOH', 'SCPWM042', 'HGPWM200']"
6,193,Bangor,44.8016,-68.7712,Eastern Maine city,city,urban,BGR,"['IMBGR149', 'EOBGR041', 'SCBGRSBM', 'HIBGRA03', 'SCBGRMIN', 'OZBGR009', 'TOBGRTST', 'SIBGR212', 'SCBGRGML', 'CYBGRCYC', 'DIBGR556', 'FNBGRFIF', 'ILBGR313', 'ILBGR213', 'QIBGR401', 'SCBGR200', 'ILBGR123', 'YXBGRWHI', 'HJBGR260', 'ILBGR181', 'SCBGR109', 'ILBGR756', 'BWBGR001', 'ILBGR041', 'ILBGR610', 'ILBGR202', 'SCBGR161', 'MXBGRE30', 'ILBGR799', 'ILBGR840', 'GIBGR207', 'ILBGR534', 'CIBGR068', 'ILBGR405', 'ILBGR400', 'ILBGR165', 'WVBGR275', 'TABGR085', 'SCBGRBMI', 'ONBGRYAN', 'ILBGR452', 'ILBGR556', 'RABGR421']"
7,193,Presque Isle,46.6812,-68.0159,Northern Maine region,"city,rural",urban,PQI,"['ILPQI321', 'ILPQI736', 'MSPQI123']"
8,193,Burlington-Plattsburgh,44.4759,-73.2121,Lake Champlain region,"city,lakeside",urban,BTV,"['CYBTVDTC', 'DIBTV515', 'HHBTV007', 'CYBTVWLC', 'WBBTVTPI', 'BWBTV138', 'RCBTVCOR', 'YXBTVSCW', 'WVBTVINN', 'YXBTVANC', 'EOBTV022', 'QIBTV064', 'TOBTVTST', 'WVBTV602', 'CZBTV020', 'YXBTVCBS', 'SIBTV606', 'ILBTV100', 'EOBTV019', 'OZBTV737', 'RCBTVBUR', 'FNBTVFBF', 'DTBTV408', 'TLBTV055', 'LMBTV300', 'LQBTV003', 'LQBTVDAJ', 'BWBTV014', 'WVBTV100', 'BWBTV013', 'QIBTV057']"
9,193,New York,40.7128,-74.006,Largest US metropolitan area,"city,megacity",urban,NYS,[]
10,193,Albany-Schenectady-Troy,42.6526,-73.7562,New York state capital region,city,urban,ALB,"['OZALB690', 'DIALB769', 'LQALB781', 'EOALB049', 'IQALB649', 'INALB897', 'OZALB710', 'SCALBABB', 'ILALB409', 'HIALB8C4', 'HSALBAHO', 'RFALB112', 'GIALB316', 'OIALB567', 'UZALB761', 'CZALB228', 'GIALB404', 'BWALB128', 'UZALB360', 'HIALBBDF', 'RCALBCRR', 'CIALB279', 'WVALB737', 'KGALB066', 'ILALBKEM', 'YXALB287', 'EAALB501', 'GIALB122', 'SCALBPRA', 'ILALB083', 'RAALB058', 'BWALB089', 'CIALB541', 'ILALB165', 'DIALB253', 'CIALB016', 'WGALB384', 'TOALBMCT', 'HIALBD02', 'BWALB001', 'HIALB1CE', 'HHALB462', 'MSALBWMO', 'BWALB144', 'CCALB420', 'SZALB055', 'ILALB871', 'HSALBAHF', 'UZALBEOH', 'ILALBMID', 'TOALBTAT', 'ILALB124', 'EOALB015', 'ILALB451', 'FNALBFIF', 'YXALBSCI', 'UIALB681', 'RCALBSAR', 'PHALBSAG', 'WVALBROI', 'BWALB064', 'SCALBTAC', 'WWALBBER', 'OZALB908', 'GZALBPGH', 'FNALBEGF', 'LWALB719', 'MSALB682', 'DIALB173', 'YXALBMSC', 'XVALBCOS', 'YXALBSCH', 'YXALBGSH', 'YXALBSHL', 'OZALB930', 'CXALB386', 'IRALB001', 'UZALB719', 'CIALB219', 'HJALB668', 'OZALB693', 'QIALB204', 'MCALBNYM', 'HEALBCRG', 'FNALBAMF', 'EOALB190', 'HIALBC6E', 'SCALB020', 'QIALB120', 'GZALBMIB', 'GIALB518', 'YXALBLGE', 'CIALB375', 'WVALB228', 'IMALBGLR', 'RCALBWAR', 'HXALB213', 'KGALBFDM', 'HIALBAC9', 'CYALBSSC', 'EOALB126', 'HSALBAEP', 'QIALB024', 'WVALBDES', 'BWALB106']"
