visa_requirement_id,origin_country_id,destination_country_id,visa_requirement
1,2,4,0.5
2,2,54,0.5
3,2,5,0.5
4,2,3,0.5
5,2,10,0.5
6,2,7,0.5
7,2,8,0.5
8,2,11,0.5
9,2,12,0.5
10,2,13,0.5
11,2,21,0.5
12,2,20,0
13,2,18,0.5
14,2,28,0.5
15,2,23,0.5
16,2,15,0.5
17,2,24,0.5
18,2,16,0.5
19,2,30,0.5
20,2,26,0.5
21,2,22,0.5
22,2,31,0.5
23,2,27,0.5
24,2,29,0.5
25,2,19,0.5
26,2,17,0.5
27,2,14,0
28,2,98,0
29,2,38,0.5
30,2,33,0.5
31,2,43,0
32,2,32,0.5
33,2,178,0.5
34,2,35,0.5
35,2,36,0.5
36,2,41,0.5
37,2,42,0
38,2,40,0.5
39,2,39,0.5
40,2,44,0.5
41,2,37,0.5
42,2,81,0.5
43,2,45,0.5
44,2,47,0.5
45,2,48,0.5
46,2,52,0.5
47,2,50,0.5
48,2,51,0
49,2,53,0.5
50,2,55,0.5
51,2,56,0
52,2,165,0.5
53,2,72,0.5
54,2,57,0.5
55,2,59,0.5
56,2,175,0.5
57,2,60,0.5
58,2,62,0.5
59,2,61,0.5
60,2,63,0.5
61,2,65,0.5
62,2,70,0.5
63,2,67,0.5
64,2,49,0.5
65,2,68,0.5
66,2,73,0.5
67,2,74,0.5
68,2,76,0.5
69,2,69,0.5
70,2,71,0
71,2,78,0.5
72,2,82,0
73,2,80,0.5
74,2,83,0.5
75,2,89,0.5
76,2,85,0.5
77,2,84,0.5
78,2,87,0.5
79,2,88,0.5
80,2,86,0.5
81,2,90,0.5
82,2,91,0.5
83,2,92,0.5
84,2,94,0.5
85,2,93,0.5
86,2,95,0.5
87,2,96,0
88,2,99,0.5
89,2,151,0.5
90,2,101,0.5
91,2,102,0.5
92,2,97,0.5
93,2,103,0.5
94,2,113,0.5
95,2,104,0.5
96,2,110,0.5
97,2,105,0
98,2,106,0.5
99,2,108,0.5
100,2,111,0.5
101,2,112,0.5
102,2,118,0
103,2,131,0.5
104,2,132,0.5
105,2,119,0
106,2,123,0.5
107,2,124,0.5
108,2,121,0.5
109,2,129,0.5
110,2,130,0.5
111,2,120,0.5
112,2,64,0
113,2,117,0.5
114,2,116,0.5
115,2,127,0.5
116,2,126,0.5
117,2,115,0.5
118,2,128,0
119,2,125,0.5
120,2,133,0.5
121,2,140,0.5
122,2,139,0.5
123,2,137,0.5
124,2,141,0.5
125,2,136,0.5
126,2,134,0.5
127,2,135,0.5
128,2,122,0.5
129,2,138,0.5
130,2,142,0.5
131,2,143,0.5
132,2,147,0
133,2,144,0.5
134,2,148,0.5
135,2,153,0.5
136,2,145,0.5
137,2,146,0.5
138,2,149,0.5
139,2,152,0.5
140,2,155,0.5
141,2,156,0.5
142,2,157,0.5
143,2,158,0
144,2,100,0.5
145,2,107,0.5
146,2,195,0.5
147,2,200,0
148,2,166,0.5
149,2,170,0.5
150,2,159,0.5
151,2,161,0.5
152,2,168,0.5
153,2,176,0.5
154,2,164,0.5
155,2,162,0.5
156,2,172,0.5
157,2,173,0.5
158,2,163,0.5
159,2,167,0.5
160,2,203,0.5
161,2,169,0.5
162,2,58,0.5
163,2,109,0
164,2,160,0.5
165,2,171,0.5
166,2,174,0.5
167,2,34,0.5
168,2,177,0.5
169,2,206,0.5
170,2,181,0.5
171,2,189,0.5
172,2,180,0.5
173,2,183,0
174,2,179,0.5
175,2,184,0.5
176,2,185,0.5
177,2,186,0.5
178,2,187,0.5
179,2,182,0.5
180,2,188,0
181,2,190,0.5
182,2,191,0.5
183,2,6,0.5
184,2,66,0.5
185,2,193,1
186,2,192,0.5
187,2,194,0.5
188,2,199,0.5
189,2,207,0.5
190,2,196,0.5
191,2,198,0.5
192,2,202,0.5
193,2,204,0.5
194,2,205,0.5
195,3,2,0.5
196,3,4,0.5
197,3,54,0.5
198,3,5,0.5
199,3,10,0.5
200,3,7,0.5
201,3,8,0.5
202,3,11,0.5
203,3,12,0.5
204,3,13,0.5
205,3,21,0.5
206,3,20,0.5
207,3,18,0
208,3,28,0
209,3,23,0.5
210,3,15,0.5
211,3,24,0.5
212,3,16,0
213,3,30,0.5
214,3,26,0
215,3,22,0.5
216,3,31,0
217,3,27,0.5
218,3,29,0.5
219,3,19,0.5
220,3,17,0.5
221,3,14,0
222,3,98,0
223,3,38,0.5
224,3,33,0.5
225,3,43,0
226,3,32,0.5
227,3,178,0.5
228,3,35,0.5
229,3,36,0.5
230,3,41,0.5
231,3,42,0
232,3,40,0.5
233,3,39,0.5
234,3,44,0.5
235,3,37,0.5
236,3,81,0.5
237,3,45,0.5
238,3,47,0.5
239,3,48,0.5
240,3,52,0.5
241,3,50,0.5
242,3,51,0
243,3,53,0.5
244,3,55,0.5
245,3,56,0.5
246,3,165,0.5
247,3,72,0.5
248,3,57,0.5
249,3,59,0.5
250,3,175,0.5
251,3,60,0
252,3,62,0.5
253,3,61,0.5
254,3,63,0.5
255,3,65,0.5
256,3,70,0
257,3,67,0.5
258,3,49,0.5
259,3,68,0
260,3,73,0.5
261,3,74,0.5
262,3,76,0.5
263,3,69,0.5
264,3,71,0
265,3,78,0
266,3,82,0
267,3,80,0.5
268,3,83,0.5
269,3,89,0.5
270,3,85,0.5
271,3,84,0.5
272,3,87,0
273,3,88,0.5
274,3,86,0.5
275,3,90,0.5
276,3,91,0.5
277,3,92,0.5
278,3,94,0.5
